Venue Category,Broad Category
Portuguese Restaurant,Dining
Steakhouse,Dining
Indian Restaurant,Dining
Italian Restaurant,Dining
Soup Place,Dining
Frozen Yogurt Shop,Dining
Sushi Restaurant,Dining
French Restaurant,Dining
Tapas Restaurant,Dining
African Restaurant,Dining
Greek Restaurant,Dining
Paella Restaurant,Dining
Cupcake Shop,Dining
Asian Restaurant,Dining
Peruvian Restaurant,Dining
Fish & Chips Shop,Dining
BBQ Joint,Dining
South American Restaurant,Dining
Middle Eastern Restaurant,Dining
Arepa Restaurant,Dining
Buffet,Dining
Cheese Shop,Dining
Eastern European Restaurant,Dining
Japanese Restaurant,Dining
Thai Restaurant,Dining
Comfort Food Restaurant,Dining
Taco Place,Dining
Caucasian Restaurant,Dining
New American Restaurant,Dining
Vietnamese Restaurant,Dining
Dim Sum Restaurant,Dining
Snack Place,Dining
Shabu-Shabu Restaurant,Dining
Noodle House,Dining
Hotpot Restaurant,Dining
Cha Chaan Teng,Dining
Creperie,Dining
Polish Restaurant,Dining
Vegetarian / Vegan Restaurant,Dining
Mediterranean Restaurant,Dining
Korean Restaurant,Dining
Varenyky restaurant,Dining
Russian Restaurant,Dining
Turkish Restaurant,Dining
Pakistani Restaurant,Dining
Cajun / Creole Restaurant,Dining
Southern / Soul Food Restaurant,Dining
Ramen Restaurant,Dining
Falafel Restaurant,Dining
Cuban Restaurant,Dining
Food Stand,Dining
Tiki Bar,Dining
Bistro,Dining
Chocolate Shop,Dining
Argentinian Restaurant,Dining
Dumpling Restaurant,Dining
Ethiopian Restaurant,Dining
Filipino Restaurant,Dining
Israeli Restaurant,Dining
German Restaurant,Dining
Bubble Tea Shop,Dining
Cantonese Restaurant,Dining
Halal Restaurant,Dining
Burrito Place,Dining
Shanghai Restaurant,Dining
Hawaiian Restaurant,Dining
Salad Place,Dining
Taiwanese Restaurant,Dining
Hot Dog Joint,Dining
Poke Place,Dining
Sake Bar,Dining
English Restaurant,Dining
Malay Restaurant,Dining
Austrian Restaurant,Dining
Japanese Curry Restaurant,Dining
Empanada Restaurant,Dining
Czech Restaurant,Dining
Afghan Restaurant,Dining
Scandinavian Restaurant,Dining
Szechuan Restaurant,Dining
Jewish Restaurant,Dining
Smoothie Shop,Dining
Udon Restaurant,Dining
Theme Restaurant,Dining
Lebanese Restaurant,Dining
Gluten-free Restaurant,Dining
Moroccan Restaurant,Dining
Swiss Restaurant,Dining
Brazilian Restaurant,Dining
Egyptian Restaurant,Dining
Modern European Restaurant,Dining
Australian Restaurant,Dining
Souvlaki Shop,Dining
Tibetan Restaurant,Dining
Himalayan Restaurant,Dining
Colombian Restaurant,Dining
Indonesian Restaurant,Dining
Romanian Restaurant,Dining
Kosher Restaurant,Dining
Dosa Place,Dining
Tex-Mex Restaurant,Dining
Sri Lankan Restaurant,Dining
Venezuelan Restaurant,Dining
Molecular Gastronomy Restaurant,Dining
Persian Restaurant,Dining
Cambodian Restaurant,Dining
Soba Restaurant,Dining
Kebab Restaurant,Dining
Laundromat,Utility
Mattress Store,Utility
Furniture / Home Store,Utility
Shipping Store,Utility
Paper / Office Supplies Store,Utility
Shop & Service,Utility
Laundry Service,Utility
Salon / Barbershop,Utility
Construction & Landscaping,Utility
Butcher,Utility
Flower Shop,Utility
Hardware Store,Utility
Business Service,Utility
Garden Center,Utility
Other Repair Shop,Utility
Dry Cleaner,Utility
Kitchen Supply Store,Utility
Print Shop,Utility
Bed & Breakfast,Travel and Hotels
Hotel,Travel and Hotels
Hostel,Travel and Hotels
Rental Service,Travel and Hotels
